title, kind of sale,brand,year,price,usage,explanation
آپاچی 160مدل88|موتورسیکلت و لوازم جانبی|تهران  مجیدیه|دیوار,فروشی,آپاچی 160,1388,19000000,99999,مدارک کامل لاستیک عقب جلو هشتاد درصد 
موتور اپاچی تمیز مدل 93|موتورسیکلت و لوازم جانبی|تهران  کامرانیه|دیوار,فروشی,آپاچی 150,1393,30500000,37000,موتور 150 
هندا cdiژاپن سی دی ای|موتورسیکلت و لوازم جانبی|تهران  آبشار|دیوار,فروشی,هوندا CDI,1382,30000000,8000,موتورتمام فابریک میباشد و 10سال خواب بوده و حتی لنت ها وسیم کلاج فابریکه موتوری پلمپ قاب کلاج پلمپ دست نخورده قیمت 30میلیون تومن تخفیف پای معامله موتور درکاشمر میباشد  ارسال با باربری معتبر به تمام کشور
قفل دیسگ|موتورسیکلت و لوازم جانبی|تهران  المهدی|دیوار,فروشی,ان اس یو,1399,150000,1,قفل دیسگ اصلی کم استفاده شده دوتاکلیدش موجوده  سالم و بدون گیر  جا قفلی هم موجوده
لیفان 130  معاوضه با های کلیک|موتورسیکلت و لوازم جانبی|تهران  ابوذر (منطقه 15)|دیوار,فروشی,هرم اسپید طرح ویو 130,1398,25500000,5000,لیفان 130 معاوضه با های کلیک همی چه تکمیل ظبت باند فندک شارژر موبایل معاوضه با طرح کلیک با بقی رو سر میدم  یا معاوضه با ماشین  ما بقی رو سر میدم
باک هندا سالم بدون سوراخ|موتورسیکلت و لوازم جانبی|تهران  بریانک|دیوار,فروشی,سایر,1390,150000,2,باک هندا سالم بدون سوراخ و زنگ زندگی فقط نیاز به رنگ داره
کاوازاکی نینجا 300|موتورسیکلت و لوازم جانبی|تهران  ائمه اطهار|دیوار,فروشی,کاوازاکی نینجا 300,1398,230000000,1174,نینجا 300 مدل 98 دوسیلندر سیستم خنک کننده 
کلاه کاسکت بلوتوث دار RAPIDO|موتورسیکلت و لوازم جانبی|تهران  آرژانتین|دیوار,فروشی,راپیدو,1400,0,1,کلاه کاسکت راپیدو سایز XL کاملا نو و بدون استفاده بوده با عینک دودی دارای بلوتوث و قابلیت مکالمه و پخش موزیک دارد   فقط مصرف کننده تماس بگیره   
وسپا    vxl مدل ٩٨|موتورسیکلت و لوازم جانبی|تهران  مدائن|دیوار,فروشی,وسپا,1398,62000000,2500,موتور کم کارکرد بدون رنگ و تصادف کاملا سالم ٢٥٠٠ تا کارکرد ٢ بار روغن تعویض شده و سرویس شده  بیمه ١ سال کامل
پیشرو گلد 200|موتورسیکلت و لوازم جانبی|تهران  اقدسیه|دیوار,فروشی,پیشرو گلد ( طرح تریل ) 200,1395,41000000,1000,مدل 95 در حد
هوندا کلیک 150  مدل 99|موتورسیکلت و لوازم جانبی|تهران  امیرآباد|دیوار,فروشی,هوندا کلیک,1399,71800000,1400,مدل 99 مشکی نارنجی کلیک سالار گستر تک ریمون اصل تایلندی کارکرد 1400 تا دونه
موتور هوندا 98 صفر|موتورسیکلت و لوازم جانبی|تهران  ونک|دیوار,فروشی,هوندا,1398,18000000,3900,موتور مشابه صفر همه چیز عالی بیمه داره فوری فورش
بنلی249sطلایی درحد|موتورسیکلت و لوازم جانبی|تهران  فاطمی|دیوار,فروشی,بنلی,1400,116000000,1000,باسلام موتورفوق صحیح و سالم بدون کوچکترین هزینه بیمه فول روغن تازه تعویض شده کلا 1ماه خریداری شده ب دلیل نیاز مالی ب فروش میرسد ساعت بازدید9
هوندا کلیک واریو خشک|موتورسیکلت و لوازم جانبی|تهران  شکوفه|دیوار,فروشی,سایر,1400,73500000,0,هوندا کلیک واریو 1400 اتاق 2021  2 ریموت صفر خشک همراه با گارانتی
گارد رادیاتور زد هزار|موتورسیکلت و لوازم جانبی|تهران  سهروردی|دیوار,فروشی,سایر,1400,900000,0,گارد فقط یک هفته روی موتور نصب بوده کاملا نو وبدون ایراد میباشد
cb 1000|موتورسیکلت و لوازم جانبی|تهران  پاتریس لومومبا|دیوار,فروشی,هوندا CB 1000, 1365,110000000,1000,موتور در حد  گاز خور عالی در حد  دسته اول بی رنگ بی ضربه  تو عکس معلوم همه چی فابریک 
